[1, 42, 1, 42, 1, 42, 56, 97]
[8, 42, 8, 42, 57, 91, 8, 42]
[47, 98, 47, 98, 47, 98, 47, 98]
[57, 90, 94, 149, 94, 149, 57, 90]
[17, 73, 17, 73, 17, 73, 17, 73]
[14, 43, 14, 43, 14, 43, 66, 95]
[54, 87, 54, 87, 54, 87, 54, 87]
[99, 165, 15, 81, 15, 81, 101, 167]
[18, 40, 39, 71, 97, 129, 39, 71]
[64, 95, 25, 56, 25, 56, 64, 95]
[16, 48, 16, 50, 16, 48, 54, 90]
[101, 151, 19, 69, 19, 69, 102, 152]
[21, 53, 22, 54, 68, 100, 68, 100]
[20, 59, 20, 59, 20, 59, 63, 102]
[24, 54, 27, 58, 26, 58, 69, 101]
[33, 63, 33, 63, 33, 63, 33, 63]
[13, 48, 12, 48, 14, 49, 63, 98]
[65, 99, 65, 99, 108, 166, 16, 50]
[24, 49, 24, 49, 24, 49, 24, 49]
[21, 52, 21, 52, 66, 97, 21, 52]
[24, 53, 24, 53, 24, 53, 67, 96]
[9, 41, 9, 41, 58, 90, 9, 41]
[57, 93, 9, 69, 44, 104, 60, 96]
[1, 58, 11, 68, 11, 68, 78, 135]
[90, 145, 25, 80, 90, 145, 90, 145]
[3, 43, 3, 43, 23, 63, 3, 43]
[19, 47, 19, 47, 19, 47, 54, 82]
[67, 96, 11, 62, 19, 68, 104, 155]
[32, 53, 32, 53, 32, 53, 32, 53]
[13, 39, 14, 39, 14, 39, 16, 40]
[18, 58, 18, 58, 33, 73, 46, 86]
[23, 51, 22, 50, 19, 47, 22, 50]
[31, 57, 32, 58, 31, 57, 31, 57]
[74, 126, 30, 82, 86, 138, 31, 83]
[10, 39, 52, 81, 53, 82, 10, 39]
[35, 75, 3, 43, 4, 44, 34, 74]
[107, 168, 29, 90, 29, 90, 106, 167]
[2, 37, 9, 44, 49, 84, 13, 48]
[47, 88, 48, 89, 48, 89, 119, 160]
[20, 54, 21, 55, 21, 55, 23, 57]
[16, 47, 16, 47, 14, 45, 59, 90]
[11, 45, 10, 44, 10, 44, 55, 89]
[100, 154, 20, 74, 101, 155, 17, 71]
[31, 76, 30, 75, 34, 79, 100, 145]
[20, 70, 15, 65, 19, 69, 116, 166]
[16, 45, 3, 32, 21, 50, 18, 47]
[57, 88, 16, 47, 16, 47, 59, 90]
[8, 38, 8, 38, 24, 54, 24, 54]
[99, 149, 12, 62, 101, 151, 12, 62]
[31, 75, 33, 77, 32, 76, 31, 75]
[35, 71, 35, 71, 66, 102, 35, 71]
[27, 58, 27, 58, 27, 58, 65, 96]
[42, 77, 33, 68, 33, 68, 111, 146]
